ID,TARGET,POS,INDEX,TEXT,CONC_AVG,CONC_SD,WN_SYNSET,TARGET_LEXICAL_ACCESSIBILITY,SENTENCE_LEXICAL_ACCESSIBILITY,LEXICAL_DENSITY,SENTENCE_LENGTH,CLAUSES,AVG_TOKEN_PER_CLAUSE,SYNTACTIC_TREE_DEPTH
98,accordo,N,1,Un accordo di solito è maggiore o minore. ,4.47,1.8,06869951-n,0.308,0.179555556,0.5,9,1,9,3
96,accordo,N,1,Prendi accordi con le compagnie aeree a cui affidare il tuo animale. ,3.1,1.84,06770275-n,0.346,0.260384615,0.5,13,2,6.5,5
100,accordo,N,1,"Gli accordi vengono prodotti suonando più note per volta, creando così un'armonia. ",4.85,1.7,06869951-n,0.346,0.248733333,0.692307692,15,3,5,4
97,accordo,N,8,Le persone saranno più disposte a essere d'accordo con te se ti apprezzano. ,2,1.27,13971065-n,0.308,0.2282,0.357142857,15,3,5,3
95,accordo,N,4,"Una volta raggiunto un accordo sul prezzo, il compratore versa un piccolo deposito. ",4.03,1.79,06770275-n,0.308,0.25,0.571428571,16,2,8,4
99,accordo,N,5,Non è possibile andare d'accordo con tutti. ,2.85,1.6,13971065-n,0.308,0.170888889,0.5,9,2,4.5,3
467,acqua,N,4,Raccogli un campione di acqua con un contenitore pulito. ,6.85,0.37,07935504-n,0.308,0.269333333,0.444444444,10,1,10,2
468,acqua,N,4,"Se stai nuotando in acqua dolce, stabilisci la tua posizione. ",6.31,1.32,09225146-n,0.308,0.282166667,0.6,12,3,4,4
469,acqua,N,4,Igienizza le mani con acqua di rubinetto e sapone antibatterico. ,6.57,0.94,07935504-n,0.308,0.325,0.5,11,1,11,4
470,acqua,N,5,Sciacqua un limone maturo con acqua fredda e tamponalo con un tovagliolo. ,6.47,1.14,07935504-n,0.308,0.388090909,0.5,13,1,13,4
2,affascinare,V,8,Guardati i piedi o fai finta di essere affascinata dalla copertina del tuo libro. ,2.4,1.57,01817314-v,0.577,0.271866667,0.4375,17,3,5.666666667,6
1,affascinare,V,1,Sei affascinato dal funzionamento della mente umana? ,1.87,1.38,01817314-v,0.5,0.274,0.444444444,10,1,10,3
3,affogare,V,12,Molte persone tralasciano l'idea di imparare a nuotare perché temono di affogare. ,6.07,1.49,00360501-v,0.615,0.307692308,0.538461539,14,5,2.8,5
5,affogare,V,11,"L'importante è che non siano troppo grandi, nessuno vuole affogare in litri di tè. ",2.63,1.62,00360501-v,0.615,0.2235625,0.533333333,17,3,5.666666667,5
4,affogare,V,14,Non dare troppa acqua: le radici superficiali amano l'acqua ma non devono affogare. ,5.03,1.88,,0.615,0.272071429,0.642857143,16,3,5.333333333,3
6,affogare,V,8,"Dopo la rottura, forse sarai tentata di affogare il dispiacere in cibi poco salutari. ",2.76,1.85,00472532-v,0.615,0.2835625,0.571428571,16,2,8,4
54,amico,N,2,Recluta qualche amico robusto per farti aiutare. ,6.14,1.19,10112591-n,0.346,0.3365,0.714285714,8,2,4,4
53,amico,N,7,"Se non riesci a separarti dai tuoi amici virtuali, tieniti in contatto con loro via chat. ",4.94,1.53,10112591-n,0.346,0.2885,0.5,19,3,6.333333333,5
52,amico,N,8,"Crea dei biglietti da visita, dillo ad amici e familiari e pubblicizza l'evento sulle bacheche locali. ",5.97,1.43,10112591-n,0.346,0.296235294,0.52631579,21,2,10.5,4
51,amico,N,4,"Anche se non siete amici, puoi visualizzare tutto ciò che una persona rende pubblico sul proprio profilo social. ",3.83,1.97,10112591-n,0.346,0.24035,0.473684211,21,3,7,4
215,amore,N,7,Quasi tutti sono in grado di ricevere amore e gentilezza. ,2.1,1.16,07544647-n,0.308,0.202727273,0.5,11,2,5.5,4
216,amore,N,5,"Pensa ai tuoi sentimenti di amore, passione e la sessualità. ",2.6,1.61,07488340-n,0.308,0.214833333,0.454545455,13,1,13,4
217,amore,N,1,"L'amore è cieco, perciò cerca di aprire volontariamente gli occhi. ",1.89,1.34,,0.308,0.230923077,0.545454546,13,3,4.333333333,4
218,amore,N,1,"L'amore potrebbe essere cieco, ma non è corrotto o stupido. ",2.04,1.51,,0.308,0.216076923,0.454545455,13,2,6.5,3
219,amore,N,5,"Determina la differenza, tra amore, infatuazione e passione. ",2.16,1.7,07488340-n,0.308,0.2384,0.625,11,1,11,4
220,amore,N,5,Costruire una base per l'amore fisico richiede tempo. ,3.21,1.93,07488340-n,0.308,0.2155,0.666666667,10,2,5,4
7,apprendere,V,3,Puoi provare ad apprendere le tecniche di potatura per cercare di rivitalizzare la tua pianta. ,3.73,1.66,00597915-v,0.462,0.276933333,0.466666667,16,4,4,5
9,apprendere,V,6,"Gli adolescenti interagiscono, giocano e apprendono informazioni grazie alla rete. ",4,1.88,00598954-v,0.577,0.2725,0.636363636,13,3,4.333333333,4
8,apprendere,V,5,"Ora che il cane ha appreso come abbaiare a comando, il prossimo passo sarà farlo smettere. ",3.15,1.72,00597915-v,0.462,0.251176471,0.529411765,19,4,4.75,5
10,apprendere,V,8,Vedi la separazione come un'opportunità da cui apprendere la lezione per superare la delusione. ,2.5,1.4,00597915-v,0.462,0.257461539,0.466666667,16,3,5.333333333,7
183,aria,N,4,Accendi il condizionatore sull'aria fredda ma non attivare la funzione di ricircolo. ,5.63,1.25,,0.346,0.283923077,0.571428571,15,2,7.5,4
185,aria,N,4,Chi vuole darsi delle arie di superiorità usa tono accondiscendente e battute dello stesso tipo. ,1.73,1.14,04897762-n,0.538,0.3005,0.5,19,2,9.5,5
184,aria,N,5,Asciuga i capelli con l'aria fredda. ,6,1.24,,0.346,0.25475,0.571428571,8,1,8,2
186,aria,N,7,Non parlare alla tua amica con un'aria di sufficienza e non trattarla come se fosse debole. ,2.07,1.41,04897762-n,0.346,0.244352941,0.473684211,20,3,6.666666667,3
11,arrugginire,V,7,I migliori samurai lasciano la spada ad arrugginire nel fodero. ,4.79,2.21,00273963-v,0.731,0.325090909,0.545454546,12,2,6,3
13,arrugginire,V,13,"Più tempo trascorri senza usare le tue capacità, più il cervello si arrugginisce. ",2.39,1.55,00273963-v,0.769,0.272,0.615384615,15,3,5,3
12,arrugginire,V,4,Le corde consumate o arrugginite si scordano più facilmente e rovinano le tue dita. ,6.29,1.3,00273963-v,0.654,0.343357143,0.571428571,15,2,7.5,4
14,arrugginire,V,12,"Se ti limiti a comunicare a monosillabi, probabilmente sarai un po' arrugginita e imbarazzata. ",2.63,1.42,00273963-v,0.654,0.289733333,0.5,16,4,4,5
337,arte,N,10,Osserva come lo zentangle si differenzia dalle altre forme d'arte visiva. ,3.3,1.56,00933420-n,0.308,0.265818182,0.538461539,14,2,7,4
339,arte,N,7,"Tirare su il prezzo è una vera arte, dunque inizia a coltivarla sin da ora. ",1.87,1.36,05637558-n,0.308,0.239823529,0.5625,18,4,4.5,5
340,arte,N,5,Incidere il cuoio è un'arte artigianale che può essere appresa da tutti. ,3.63,1.9,05638063-n,0.308,0.238928571,0.384615385,14,3,4.666666667,3
338,arte,N,2,La migliore arte proviene dal comunicare la propria persona in maniera autentica. ,2.97,2.03,02743547-n,0.308,0.2565,0.538461539,14,2,7,3
15,assicurare,V,8,"Avvitando il bullone le alette si allargheranno, assicurando il rivetto al soffitto. ",4.67,1.94,,0.462,0.375692308,0.538461539,15,3,5,3
18,assicurare,V,0,Assicurati che le persone sappiano che stai facendo un buon lavoro. ,2.07,1.24,00890590-v,0.5,0.251636364,0.636363636,12,4,3,5
16,assicurare,V,0,Assicurati che i dispositivi acustici utilizzati siano correttamente collegati al computer e in funzione. ,4.48,2.21,00890590-v,0.5,0.266533333,0.533333333,16,3,5.333333333,6
17,assicurare,V,7,Fai una lista delle tue priorità per assicurarti di raggiungere le mete che ti sei proposto. ,2.91,1.81,00890590-v,0.654,0.257882353,0.388888889,19,4,4.75,5
20,attivare,V,4,Vai alla centralina e attiva la corrente elettrica. ,5.19,1.41,01857717-v,0.385,0.256444444,0.555555556,10,2,5,3
